ID	Name	Sex	Age	Height	Weight	Team	NOC	Games	Year	Season	City	Sport	Event	Medal
4573	Anatoly Antonov	M	NA	NA	NA	Australia	URS	1956 Summer	1956	Summer	Melbourne	Rowing	Rowing Men's Coxed Eights	NA
4574	Nikolay Yakimov Antonov	M	23	182	80	Australia	BUL	1992 Summer	1992	Summer	Barcelona	Athletics	Athletics Men's 200 metres	NA
4575	Oleg Antonov	M	28	198	88	Australia	ITA	2016 Summer	2016	Summer	Rio de Janeiro	Volleyball	Volleyball Men's Volleyball	Silver
4576	Raychin Antonov	M	24	196	82	Australia	BUL	2004 Summer	2004	Summer	Athina	Swimming	Swimming Men's 50 metres Freestyle	NA
4576	Raychin Antonov	M	24	196	82	Australia	BUL	2004 Summer	2004	Summer	Athina	Swimming	Swimming Men's 100 metres Freestyle	NA
4577	Semyon Sergeyevich Antonov	M	23	202	97	Australia	RUS	2012 Summer	2012	Summer	London	Basketball	Basketball Men's Basketball	Bronze
4578	Serhiy Antonov	M	35	185	92	Australia	UKR	2000 Summer	2000	Summer	Sydney	Archery	Archery Men's Individual	NA
4578	Serhiy Antonov	M	35	185	92	Australia	UKR	2000 Summer	2000	Summer	Sydney	Archery	Archery Men's Team	NA
4579	Vladislav Nikolayevich Antonov	M	22	179	80	Australia	RUS	2014 Winter	2014	Winter	Sochi	Luge	Luge Mixed (Men)'s Doubles	NA
4579	Vladislav Nikolayevich Antonov	M	22	179	80	Australia	RUS	2014 Winter	2014	Winter	Sochi	Luge	Luge Mixed Team Relay	Silver
4580	Vladislav Yuryevich Antonov	M	25	164	54	Australia	EUN	1992 Summer	1992	Summer	Barcelona	Boxing	Boxing Men's Bantamweight	NA
4581	Yaroslav Viktorovich Antonov	M	25	198	95	Australia	URS	1988 Summer	1988	Summer	Seoul	Volleyball	Volleyball Men's Volleyball	Silver
4582	Aleksandra Ivanovna Antonova	F	20	170	55	Australia	RUS	2012 Summer	2012	Summer	London	Water Polo	Water Polo Women's Water Polo	NA
4583	Aleksandra Viktorovna Antonova	F	28	160	58	Australia	RUS	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 100 metres Hurdles	NA
4584	Diana Ivanovna Antonova	F	19	168	50	Australia	RUS	2012 Summer	2012	Summer	London	Water Polo	Water Polo Women's Water Polo	NA
4585	Olena Anatolivna Antonova	F	24	180	95	Australia	UKR	1996 Summer	1996	Summer	Atlanta	Athletics	Athletics Women's Discus Throw	NA
4585	Olena Anatolivna Antonova	F	28	180	95	Australia	UKR	2000 Summer	2000	Summer	Sydney	Athletics	Athletics Women's Discus Throw	NA
4585	Olena Anatolivna Antonova	F	32	180	95	Australia	UKR	2004 Summer	2004	Summer	Athina	Athletics	Athletics Women's Discus Throw	NA
4585	Olena Anatolivna Antonova	F	36	180	95	Australia	UKR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Discus Throw	Bronze
4586	Yelena Anatolyevna Antonova	F	21	173	62	Australia	RUS	1996 Summer	1996	Summer	Atlanta	Synchronized Swimming	Synchronized Swimming Women's Team	NA
4587	Yelena Petrovna Antonova	F	23	180	78	Australia	URS	1976 Summer	1976	Summer	Montreal	Rowing	Rowing Women's Single Sculls	Bronze
4588	Izabella Antonowicz-Szuszkiewicz	F	22	160	63	Australia	POL	1964 Summer	1964	Summer	Tokyo	Canoeing	Canoeing Women's Kayak Doubles, 500 metres	NA
4588	Izabella Antonowicz-Szuszkiewicz	F	26	160	63	Australia	POL	1968 Summer	1968	Summer	Mexico City	Canoeing	Canoeing Women's Kayak Doubles, 500 metres	NA
4588	Izabella Antonowicz-Szuszkiewicz	F	30	160	63	Australia	POL	1972 Summer	1972	Summer	Munich	Canoeing	Canoeing Women's Kayak Doubles, 500 metres	NA
4589	Heiko Antons	M	20	184	73	Australia	FRG	1972 Winter	1972	Winter	Sapporo	Ice Hockey	Ice Hockey Men's Ice Hockey	NA
4590	Hans Bertil Augustin Antonsson	M	27	187	100	Australia	SWE	1948 Summer	1948	Summer	London	Wrestling	Wrestling Men's Heavyweight, Freestyle	Silver
4590	Hans Bertil Augustin Antonsson	M	30	187	100	Australia	SWE	1952 Summer	1952	Summer	Helsinki	Wrestling	Wrestling Men's Heavyweight, Freestyle	Silver
4590	Hans Bertil Augustin Antonsson	M	35	187	100	Australia	SWE	1956 Summer	1956	Summer	Melbourne	Wrestling	Wrestling Men's Heavyweight, Greco-Roman	NA
4590	Hans Bertil Augustin Antonsson	M	39	187	100	Australia	SWE	1960 Summer	1960	Summer	Roma	Wrestling	Wrestling Men's Heavyweight, Freestyle	NA
4591	Hans Yngve Antonsson	M	25	179	79	Australia	SWE	1960 Summer	1960	Summer	Roma	Wrestling	Wrestling Men's Middleweight, Freestyle	Bronze
4592	Jan-Eric Antonsson	M	30	183	84	Australia	SWE	1992 Summer	1992	Summer	Barcelona	Badminton	Badminton Men's Doubles	NA
4592	Jan-Eric Antonsson	M	34	183	84	Australia	SWE	1996 Summer	1996	Summer	Atlanta	Badminton	Badminton Mixed Doubles	NA
4593	Yekaterina Anatolyevna Antonyuk	F	23	174	61	Australia	BLR	1998 Winter	1998	Winter	Nagano	Cross Country Skiing	Cross Country Skiing Women's 15 kilometres	NA
4593	Yekaterina Anatolyevna Antonyuk	F	23	174	61	Australia	BLR	1998 Winter	1998	Winter	Nagano	Cross Country Skiing	Cross Country Skiing Women's 4 x 5 kilometres Relay	NA
4594	Alex Antor Seignourel	M	22	187	85	Australia	AND	2002 Winter	2002	Winter	Salt Lake City	Alpine Skiing	Alpine Skiing Men's Giant Slalom	NA
4594	Alex Antor Seignourel	M	22	187	85	Australia	AND	2002 Winter	2002	Winter	Salt Lake City	Alpine Skiing	Alpine Skiing Men's Slalom	NA
4594	Alex Antor Seignourel	M	26	187	85	Australia	AND	2006 Winter	2006	Winter	Torino	Alpine Skiing	Alpine Skiing Men's Downhill	NA
4594	Alex Antor Seignourel	M	26	187	85	Australia	AND	2006 Winter	2006	Winter	Torino	Alpine Skiing	Alpine Skiing Men's Super G	NA
4594	Alex Antor Seignourel	M	26	187	85	Australia	AND	2006 Winter	2006	Winter	Torino	Alpine Skiing	Alpine Skiing Men's Slalom	NA
4594	Alex Antor Seignourel	M	26	187	85	Australia	AND	2006 Winter	2006	Winter	Torino	Alpine Skiing	Alpine Skiing Men's Combined	NA
4595	Mihly Antos	M	NA	NA	NA	Australia	HUN	1908 Summer	1908	Summer	London	Gymnastics	Gymnastics Men's Individual All-Around	NA
4596	Vclav Anto	M	19	NA	NA	Australia	TCH	1924 Summer	1924	Summer	Paris	Swimming	Swimming Men's 400 metres Freestyle	NA
4596	Vclav Anto	M	19	NA	NA	Australia	TCH	1924 Summer	1924	Summer	Paris	Swimming	Swimming Men's 1,500 metres Freestyle	NA
4596	Vclav Anto	M	19	NA	NA	Australia	TCH	1924 Summer	1924	Summer	Paris	Swimming	Swimming Men's 4 x 200 metres Freestyle Relay	NA
4596	Vclav Anto	M	23	NA	NA	Australia	TCH	1928 Summer	1928	Summer	Amsterdam	Swimming	Swimming Men's 400 metres Freestyle	NA
4596	Vclav Anto	M	23	NA	NA	Australia	TCH	1928 Summer	1928	Summer	Amsterdam	Swimming	Swimming Men's 1,500 metres Freestyle	NA
4597	Tatyana Andreyevna Antoshina	F	29	174	55	Australia	RUS	2012 Summer	2012	Summer	London	Cycling	Cycling Women's Road Race, Individual	NA
4597	Tatyana Andreyevna Antoshina	F	29	174	55	Australia	RUS	2012 Summer	2012	Summer	London	Cycling	Cycling Women's Individual Time Trial	NA
4598	Jitka Antoov	F	21	175	73	Australia	CZE	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Women's Double Sculls	NA
4598	Jitka Antoov	F	25	175	73	Australia	CZE	2012 Summer	2012	Summer	London	Rowing	Rowing Women's Double Sculls	NA
4599	Lenka Antoov	F	20	177	70	Australia	CZE	2012 Summer	2012	Summer	London	Rowing	Rowing Women's Double Sculls	NA
4599	Lenka Antoov	F	24	177	70	Australia	CZE	2016 Summer	2016	Summer	Rio de Janeiro	Rowing	Rowing Women's Double Sculls	NA
4600	Andrey Mikhaylovich Antropov	M	25	178	72	Australia	EUN	1992 Summer	1992	Summer	Barcelona	Badminton	Badminton Men's Singles	NA
4600	Andrey Mikhaylovich Antropov	M	29	178	72	Australia	RUS	1996 Summer	1996	Summer	Atlanta	Badminton	Badminton Men's Singles	NA
4600	Andrey Mikhaylovich Antropov	M	29	178	72	Australia	RUS	1996 Summer	1996	Summer	Atlanta	Badminton	Badminton Men's Doubles	NA
4601	Nikolay Aleksandrovich "Nik" Antropov	M	25	197	104	Australia	KAZ	2006 Winter	2006	Winter	Torino	Ice Hockey	Ice Hockey Men's Ice Hockey	NA
4602	Oegs Antropovs	M	20	193	83	Australia	URS	1968 Summer	1968	Summer	Mexico City	Volleyball	Volleyball Men's Volleyball	Gold
4603	Aleksander Antson	M	24	172	65	Australia	EST	1924 Summer	1924	Summer	Paris	Athletics	Athletics Men's 1,500 metres	NA
4604	Ants Antson	M	25	184	84	Australia	URS	1964 Winter	1964	Winter	Innsbruck	Speed Skating	Speed Skating Men's 1,500 metres	Gold
4604	Ants Antson	M	25	184	84	Australia	URS	1964 Winter	1964	Winter	Innsbruck	Speed Skating	Speed Skating Men's 10,000 metres	NA
4604	Ants Antson	M	29	184	84	Australia	URS	1968 Winter	1968	Winter	Grenoble	Speed Skating	Speed Skating Men's 1,500 metres	NA
4605	Maryna Mykolavna Antsybor	F	22	160	52	Australia	UKR	2010 Winter	2010	Winter	Vancouver	Cross Country Skiing	Cross Country Skiing Women's 10 kilometres	NA
4605	Maryna Mykolavna Antsybor	F	22	160	52	Australia	UKR	2010 Winter	2010	Winter	Vancouver	Cross Country Skiing	Cross Country Skiing Women's 15 km Skiathlon	NA
4605	Maryna Mykolavna Antsybor	F	22	160	52	Australia	UKR	2010 Winter	2010	Winter	Vancouver	Cross Country Skiing	Cross Country Skiing Women's 4 x 5 kilometres Relay	NA
4605	Maryna Mykolavna Antsybor	F	22	160	52	Australia	UKR	2010 Winter	2010	Winter	Vancouver	Cross Country Skiing	Cross Country Skiing Women's Team Sprint	NA
4605	Maryna Mykolavna Antsybor	F	26	160	52	Australia	UKR	2014 Winter	2014	Winter	Sochi	Cross Country Skiing	Cross Country Skiing Women's Sprint	NA
4605	Maryna Mykolavna Antsybor	F	26	160	52	Australia	UKR	2014 Winter	2014	Winter	Sochi	Cross Country Skiing	Cross Country Skiing Women's 30 kilometres	NA
4605	Maryna Mykolavna Antsybor	F	26	160	52	Australia	UKR	2014 Winter	2014	Winter	Sochi	Cross Country Skiing	Cross Country Skiing Women's 15 km Skiathlon	NA
4605	Maryna Mykolavna Antsybor	F	26	160	52	Australia	UKR	2014 Winter	2014	Winter	Sochi	Cross Country Skiing	Cross Country Skiing Women's 4 x 5 kilometres Relay	NA
4606	Miika Matias Antti-Roiko	M	23	174	94	Australia	FIN	2012 Summer	2012	Summer	London	Weightlifting	Weightlifting Men's Middle-Heavyweight	NA
4607	Kaarlo Johan Jalmari "Kalle" Anttila	M	32	167	64	Australia	FIN	1920 Summer	1920	Summer	Antwerpen	Wrestling	Wrestling Men's Lightweight, Freestyle	Gold
4607	Kaarlo Johan Jalmari "Kalle" Anttila	M	36	167	64	Australia	FIN	1924 Summer	1924	Summer	Paris	Wrestling	Wrestling Men's Featherweight, Greco-Roman	Gold
4608	Kaarlo Erkki Kustavi Anttinen (Andersin-)	M	41	180	77	Australia	FIN	1956 Summer	1956	Summer	Stockholm	Equestrianism	Equestrianism Men's Three-Day Event, Individual	NA
4608	Kaarlo Erkki Kustavi Anttinen (Andersin-)	M	41	180	77	Australia	FIN	1956 Summer	1956	Summer	Stockholm	Equestrianism	Equestrianism Men's Three-Day Event, Team	NA
4609	Andr Antunes	M	37	168	80	Australia	POR	1960 Summer	1960	Summer	Roma	Shooting	Shooting Men's Free Pistol, 50 metres	NA
4609	Andr Antunes	M	49	168	80	Australia	POR	1972 Summer	1972	Summer	Munich	Shooting	Shooting Mixed Rapid-Fire Pistol, 25 metres	NA
4609	Andr Antunes	M	49	168	80	Australia	POR	1972 Summer	1972	Summer	Munich	Shooting	Shooting Mixed Free Pistol, 50 metres	NA
4610	Sara Antunes	F	21	162	50	Australia	POR	1996 Summer	1996	Summer	Atlanta	Shooting	Shooting Women's Air Rifle, 10 metres	NA
4610	Sara Antunes	F	21	162	50	Australia	POR	1996 Summer	1996	Summer	Atlanta	Shooting	Shooting Women's Small-Bore Rifle, Three Positions, 50 metres	NA
4611	Duan Antunovi	M	25	190	91	Australia	YUG	1972 Summer	1972	Summer	Munich	Water Polo	Water Polo Men's Water Polo	NA
4611	Duan Antunovi	M	29	190	91	Australia	YUG	1976 Summer	1976	Summer	Montreal	Water Polo	Water Polo Men's Water Polo	NA
4612	Micha Antuszewicz	M	42	166	72	Australia	POL	1952 Winter	1952	Winter	Oslo	Ice Hockey	Ice Hockey Men's Ice Hockey	NA
4613	Nataliya Nikolayevna Antyukh	F	23	182	69	Australia	RUS	2004 Summer	2004	Summer	Athina	Athletics	Athletics Women's 400 metres	Bronze
4613	Nataliya Nikolayevna Antyukh	F	23	182	69	Australia	RUS	2004 Summer	2004	Summer	Athina	Athletics	Athletics Women's 4 x 400 metres Relay	Silver
4613	Nataliya Nikolayevna Antyukh	F	31	182	69	Australia	RUS	2012 Summer	2012	Summer	London	Athletics	Athletics Women's 400 metres Hurdles	Gold
4613	Nataliya Nikolayevna Antyukh	F	31	182	69	Australia	RUS	2012 Summer	2012	Summer	London	Athletics	Athletics Women's 4 x 400 metres Relay	Silver
4614	Mohamad Khairul Anuar	M	20	171	75	Australia	MAS	2012 Summer	2012	Summer	London	Archery	Archery Men's Individual	NA
4614	Mohamad Khairul Anuar	M	20	171	75	Australia	MAS	2012 Summer	2012	Summer	London	Archery	Archery Men's Team	NA
4614	Mohamad Khairul Anuar	M	24	171	75	Australia	MAS	2016 Summer	2016	Summer	Rio de Janeiro	Archery	Archery Men's Individual	NA
4614	Mohamad Khairul Anuar	M	24	171	75	Australia	MAS	2016 Summer	2016	Summer	Rio de Janeiro	Archery	Archery Men's Team	NA
4615	Andrey Anufriyenko	M	23	178	80	Australia	RUS	1994 Winter	1994	Winter	Lillehammer	Speed Skating	Speed Skating Men's 1,500 metres	NA
4615	Andrey Anufriyenko	M	23	178	80	Australia	RUS	1994 Winter	1994	Winter	Lillehammer	Speed Skating	Speed Skating Men's 5,000 metres	NA
4615	Andrey Anufriyenko	M	23	178	80	Australia	RUS	1994 Winter	1994	Winter	Lillehammer	Speed Skating	Speed Skating Men's 10,000 metres	NA
4615	Andrey Anufriyenko	M	27	178	80	Australia	RUS	1998 Winter	1998	Winter	Nagano	Speed Skating	Speed Skating Men's 1,000 metres	NA
4615	Andrey Anufriyenko	M	27	178	80	Australia	RUS	1998 Winter	1998	Winter	Nagano	Speed Skating	Speed Skating Men's 1,500 metres	NA
4616	Nataliya Valeryevna Anufriyenko	F	23	173	63	Australia	BLR	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Women's Basketball	NA
4617	Aleksandr Aleksandrovich Anufriyev	M	26	167	63	Australia	URS	1952 Summer	1952	Summer	Helsinki	Athletics	Athletics Men's 5,000 metres	NA
4617	Aleksandr Aleksandrovich Anufriyev	M	26	167	63	Australia	URS	1952 Summer	1952	Summer	Helsinki	Athletics	Athletics Men's 10,000 metres	Bronze
4618	Nnamdi Lucky Anusim	M	28	175	71	Australia	NGR	2000 Summer	2000	Summer	Sydney	Athletics	Athletics Men's 4 x 100 metres Relay	NA
4619	Abolfazl Anvari	M	30	195	105	Australia	IRI	1968 Summer	1968	Summer	Mexico City	Wrestling	Wrestling Men's Heavyweight, Freestyle	NA
4619	Abolfazl Anvari	M	34	195	105	Australia	IRI	1972 Summer	1972	Summer	Munich	Wrestling	Wrestling Men's Heavyweight, Freestyle	NA
4620	Manuela Anwander	F	22	164	67	Australia	GER	2014 Winter	2014	Winter	Sochi	Ice Hockey	Ice Hockey Women's Ice Hockey	NA
4621	Jermin Anwar	F	17	161	49	Australia	EGY	2004 Summer	2004	Summer	Athina	Taekwondo	Taekwondo Women's Flyweight	NA
4622	Mohamed Sameh Anwar	M	27	NA	NA	Australia	EGY	1952 Summer	1952	Summer	Helsinki	Rowing	Rowing Men's Coxed Pairs	NA
4623	Mostafa Anwar	M	22	172	70	Australia	EGY	2004 Summer	2004	Summer	Athina	Fencing	Fencing Men's Foil, Individual	NA
4623	Mostafa Anwar	M	22	172	70	Australia	EGY	2004 Summer	2004	Summer	Athina	Fencing	Fencing Men's Foil, Team	NA
4624	Muhammad Anwar	M	29	183	74	Australia	PAK	1988 Summer	1988	Summer	Seoul	Wrestling	Wrestling Men's Welterweight, Freestyle	NA
4625	Rashid Mian Anwar	M	26	NA	NA	Australia	IND	1936 Summer	1936	Summer	Berlin	Wrestling	Wrestling Men's Welterweight, Freestyle	NA
4626	Saeed Anwar	M	20	170	71	Australia	PAK	1964 Summer	1964	Summer	Tokyo	Hockey	Hockey Men's Hockey	Silver
4626	Saeed Anwar	M	24	170	71	Australia	PAK	1968 Summer	1968	Summer	Mexico City	Hockey	Hockey Men's Hockey	Gold
4626	Saeed Anwar	M	28	170	71	Australia	PAK	1972 Summer	1972	Summer	Munich	Hockey	Hockey Men's Hockey	Silver
4627	Shehzana Anwar	F	26	160	55	Australia	KEN	2016 Summer	2016	Summer	Rio de Janeiro	Archery	Archery Women's Individual	NA
4628	Mohammad Daoud Anwary	M	22	NA	NA	Australia	AFG	1964 Summer	1964	Summer	Tokyo	Wrestling	Wrestling Men's Bantamweight, Freestyle	NA
4629	Youssef Anwer	M	28	170	55	Australia	IRQ	1964 Summer	1964	Summer	Tokyo	Boxing	Boxing Men's Featherweight	NA
4630	Charlemagne Anyamah	M	30	182	83	Australia	FRA	1968 Summer	1968	Summer	Mexico City	Athletics	Athletics Men's Decathlon	NA
4631	Myron Anyfantakis	M	20	175	80	Australia	GRE	1960 Summer	1960	Summer	Roma	Athletics	Athletics Men's Javelin Throw	NA
4632	Justina Anyiam	F	19	NA	NA	Australia	NGR	1992 Summer	1992	Summer	Barcelona	Handball	Handball Women's Handball	NA
4633	David Anyim	M	27	NA	NA	Australia	KEN	1992 Summer	1992	Summer	Barcelona	Boxing	Boxing Men's Super-Heavyweight	NA
4634	Yelena Fyodorovna Anyushina	F	22	NA	NA	Australia	RUS	2016 Summer	2016	Summer	Rio de Janeiro	Canoeing	Canoeing Women's Kayak Singles, 500 metres	NA
4634	Yelena Fyodorovna Anyushina	F	22	NA	NA	Australia	RUS	2016 Summer	2016	Summer	Rio de Janeiro	Canoeing	Canoeing Women's Kayak Doubles, 500 metres	NA
4635	Stefano Anzi	M	22	178	70	Australia	ITA	1972 Winter	1972	Winter	Sapporo	Alpine Skiing	Alpine Skiing Men's Downhill	NA
4636	John A. Anzrah	M	29	176	70	Australia	KEN	1984 Summer	1984	Summer	Los Angeles	Athletics	Athletics Men's 400 metres	NA
